Name,Position Group,Position,Body Weight,Date,Day,Day Name,Week,Squat,Box Squat,Bench,Chin Ups,Opposition,Venue,Opposition Seed,Match Minutes,Result,Total Distance,Total Duration,Distance Zone 2-8 (m),HMLD,High Speed Running,VHSR,Max Speed,Accel Load,Accel Efforts,Accel Distance,Decel Efforts,Decel Distance,Relative Cumulative Mechanical Load (N),Scaled CML (N),Average Force per Effort (N),N/m,Nordic Right Hamstring (N),Nordic Left Hamstring (N),Nordic LvR % Imb,R Hip ABD (N),L Hip ABD (N),ABD LvR % Imb,R Hip ADD (N),L Hip ADD (N),ADD LvR % Imb,R Ankle PF (N),L Ankle PF (N),PF LvR % Imb,R Knee Ext (N),L Knee Ext (N),Knee LvR % Imb,R Neck Flex (N),L Neck Flex (N),Neck LvR % Imb
Apii Nicholls,Back,Fullback,,13/05/2025,D1,Tuesday,PS1,,,,,,,,,,4:24:58,1:04:12,1348.74,360.32,105.15,0,6.94802,1359.645,57,269.63,32,33.53,16698,1669.8,187.618,5.625662021,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,15/05/2025,D2,Thursday,PS1,146,,,,,,,,,18:40:19,1:46:30,1939.54,512.91,301.58,9.92,7.17339,1742.759,55,224.9,20,35.27,13731,1373.1,183.08,3.176429602,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,17/05/2025,D3,Saturday,PS1,,,,,,,,,,7:29:17,1:36:26,2297.99,448.51,59.23,0,6.33293,2152.754,94,380.88,61,80.53,29014.5,2901.45,187.1903,5.906485582,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,19/05/2025,D1,Monday,PS2,,158,,,,,,,,7:14:53,1:28:56,3125.19,831.05,316.88,0,6.94446,2271.203,93,350.92,73,90.26,31119,3111.9,187.4639,5.324673502,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,20/05/2025,D2,Tuesday,PS2,,,,,,,,,,12:56:10,1:29:06,2125.67,472.29,93.98,12.13,7.36462,2041.013,76,312.05,40,41.37,20424,2042.4,176.069,4.460811626,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,22/05/2025,D3,Thursday,PS2,,,,,,,,,,16:00:29,1:43:10,3119.95,1000.24,418.4,39.37,7.50832,2329.031,115,476.58,84,119.68,40261.5,4026.15,202.3191,6.998753795,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,26/05/2025,D1,Monday,PS3,,,,,,,,,,1:36:29,1:27:26,4481.59,953.85,421.8,2.79,7.03493,1878.688,98,374.98,60,68.58,29290.5,2929.05,185.3829,4.251119764,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,27/05/2025,D2,Tuesday,PS3,,,,,,,,,,1:12:00,1:31:56,1315.88,289.22,108.56,0,6.4584,1893.035,30,140.35,21,24.78,9004.5,900.45,176.5588,2.158808933,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,31/05/2025,D4,Saturday,PS3,,,,,,,,,,5:49:55,1:24:35,2133.88,587.19,75.89,7.56,7.137,2355.94,127,519.76,89,100.85,39571.5,3957.15,183.2014,8.740750165,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,2/06/2025,D1,Monday,PS4,,154,,,,,,,,2:57:07,1:53:56,4087.63,1133.28,654.45,24.54,7.29896,2574.411,105,420.07,78,88.04,33844.5,3384.45,184.9426,4.581553603,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,3/06/2025,D2,Tuesday,PS4,,,,,,,,,,17:09:36,2:07:36,1957.26,399.36,92.13,0,6.69692,2208.586,43,189.96,27,37.32,12834,1283.4,183.3429,2.5171048,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,5/06/2025,D3,Thursday,PS4,,,,12,,,,,,20:52:48,2:33:32,3248.97,1015.25,652.97,54.48,7.51938,2236.486,91,380.95,49,64.15,26841,2684.1,191.7214,3.927068108,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,7/06/2025,D4,Saturday,PS4,,,,,,,,,,1:03:22,1:40:02,3686.14,519.97,161.84,0,6.77463,2053.586,85,353.85,58,84.02,26599.5,2659.95,186.0105,4.224795761,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,9/06/2025,D1,Monday,PS5,,,,,,,,,,3:01:26,1:34:25,3910.87,961.05,553.13,8.45,7.19294,2411.855,96,400.39,57,84.81,28152,2815.2,184,3.937824008,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,10/06/2025,D2,Tuesday,PS5,,,,5,,,,,,15:18:43,1:27:07,3511.58,861.3,661.24,9.59,7.05515,1665.113,62,294.2,37,36.54,17974.5,1797.45,181.5606,2.853259187,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,12/06/2025,D3,Thursday,PS5,,,,,,,,,,21:21:36,3:20:39,3433.16,1203.6,1104.67,44.56,7.17745,2549.398,70,389.8,42,53.75,23253,2325.3,207.6161,2.799579575,310,334,3.70%,,,,,,,,,,,,,,,
