Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Apii Nicholls - 13/05/2025","Full Back",13/05/2025,Tuesday,01:04:12,2968.18408,1348.74,360.32,105.15,0,6.94802,57,269.63,32,33.53,5.62566
"Apii Nicholls - 15/05/2025","Full Back",15/05/2025,Thursday,01:46:30,4322.77829,1939.53999,512.91001,301.58,9.92,7.17339,55,224.9,20,35.27,3.17643
"Apii Nicholls - 17/05/2025","Full Back",17/05/2025,Saturday,01:36:26,4912.31201,2297.98998,448.51001,59.23,0,6.33293,94,380.88001,61,80.53,5.90649
"Apii Nicholls - 19/05/2025","Full Back",19/05/2025,Monday,01:28:56,5844.30151,3125.19001,831.04997,316.88,0,6.94446,93,350.92001,73,90.26,5.32467
"Apii Nicholls - 20/05/2025","Full Back",20/05/2025,Tuesday,01:29:06,4578.53906,2125.66999,472.28999,93.98,12.13,7.36462,76,312.04999,40,41.37,4.46081
"Apii Nicholls - 22/05/2025","Full Back",22/05/2025,Thursday,01:43:10,5752.66748,3119.95004,1000.23999,418.39999,39.37,7.50832,115,476.57999,84,119.68,6.99875
"Apii Nicholls - 24/05/2025","Full Back",24/05/2025,Saturday,01:31:39,4.787,0,0,0,0,0.4697,0,0,0,0,0
"Apii Nicholls - 26/05/2025","Full Back",26/05/2025,Monday,01:27:26,6890.06689,4481.59003,953.85001,421.79999,2.79,7.03493,98,374.98,60,68.58,4.25112
"Apii Nicholls - 27/05/2025","Full Back",27/05/2025,Tuesday,01:31:56,4171.05029,1315.88001,289.22,108.56,0,6.4584,30,140.35,21,24.78,2.15881
"Apii Nicholls - 31/05/2025","Full Back",31/05/2025,Saturday,01:24:35,4527.24326,2133.88002,587.19,75.89,7.56,7.137,127,519.76,89,100.85,8.74075
"Apii Nicholls - 02/06/2025","Full Back",02/06/2025,Monday,01:53:56,7387.1225,4087.62998,1133.27999,654.45,24.54,7.29896,105,420.07,78,88.04,4.58155
"Apii Nicholls - 03/06/2025","Full Back",03/06/2025,Tuesday,02:07:36,5098.71521,1957.26,399.36001,92.13,0,6.69692,43,189.96,27,37.32,2.5171
"Apii Nicholls - 05/06/2025","Full Back",05/06/2025,Thursday,02:33:32,6834.86963,3248.97,1015.24998,652.97001,54.48,7.51938,91,380.94999,49,64.15,3.92707
"Apii Nicholls - 07/06/2025","Full Back",07/06/2025,Saturday,01:40:02,6296.04375,3686.14003,519.97,161.84,0,6.77463,85,353.85,58,84.02,4.2248
"Apii Nicholls - 09/06/2025","Full Back",09/06/2025,Monday,01:34:25,7149.12585,3910.86997,961.05,553.13,8.45,7.19294,96,400.39,57,84.81,3.93782
"Apii Nicholls - 10/06/2025","Full Back",10/06/2025,Tuesday,01:27:07,6299.63843,3511.57995,861.30001,661.23999,9.59,7.05515,62,294.2,37,36.54,2.85326
"Apii Nicholls - 12/06/2025","Full Back",12/06/2025,Thursday,03:20:39,8305.89014,3433.15999,1203.59999,1104.66997,44.56,7.17745,70,389.80001,42,53.75,2.79958
"Apii Nicholls - 14/06/2025","Full Back",14/06/2025,Saturday,01:39:05,4394.35748,2214.24,462.06,199.07,0,6.53038,48,218.08,38,44.48,3.64285
"Apii Nicholls - 16/06/2025","Full Back",16/06/2025,Monday,01:48:06,5078.47852,2200.06998,489.07001,213.22,2.6,7.03523,57,220.56999,48,49.95,3.70239
"Apii Nicholls - 17/06/2025","Full Back",17/06/2025,Tuesday,01:31:54,5853.30859,2781.26004,963.61998,460.05999,22.56,7.40425,98,359.77,72,89.16,5.58171
"Apii Nicholls - 19/06/2025","Full Back",19/06/2025,Thursday,01:47:32,6413.91949,3232.50002,1077.74001,656.55,90.26,7.62844,106,457.7,81,82.11,5.5887
"Apii Nicholls - 21/06/2025","Full Back",21/06/2025,Saturday,01:55:00,4729.59229,2056.73001,481.01999,219.57999,4.01,7.08278,49,203.4,45,48.8,3.82961
"Apii Nicholls - 24/06/2025","Full Back",24/06/2025,Tuesday,01:51:54,6209.1405,3161.60002,907.20998,516.43999,0,6.91543,109,409.82001,64,68.04,5.15627
"Apii Nicholls - 26/06/2025","Full Back",26/06/2025,Thursday,01:22:20,5274.48822,2501.04999,927.24001,673.72,116.9,7.62228,61,296.34,61,83.42,4.5394
